CBSA,CBSA_NAME,HISPANIC_POP,POPULATION,BUSINESSES
44140,"Springfield, MA",104249,622503,13129
14460,"Boston-Cambridge-Newton, MA-NH",410625,4550079,121730
,,1133602,19021702,420175
38860,"Portland-South Portland, ME",7977,514464,17069
13620,"Berlin, NH-VT",460,39795,1015
25540,"Hartford-West Hartford-East Hartford, CT",151129,1210570,28971
35620,"New York-Newark-Jersey City, NY-NJ-PA",4425823,19561897,549885
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",467262,5950042,143315
45060,"Syracuse, NY",22727,666199,15272
46540,"Utica-Rome, NY",11848,298201,6019
13780,"Binghamton, NY",7573,256697,5162
12860,"Batavia, NY",1650,60819,1346
29540,"Lancaster, PA",44960,519599,12044
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",775936,5642908,142039
12580,"Baltimore-Columbia-Towson, MD",123029,2693238,63933
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",89542,1673611,36767
32300,"Martinsville, VA",3281,72685,1457
34060,"Morgantown, WV",1910,125952,2731
16740,"Charlotte-Concord-Gastonia, NC-SC",202370,2220191,53488
12060,"Atlanta-Sandy Springs-Roswell, GA",547306,5279666,128490
37460,"Panama City, FL",8830,186189,4712
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",2313017,5570526,172278
29460,"Lakeland-Winter Haven, FL",109893,606003,10794
46220,"Tuscaloosa, AL",6276,220069,4347
19460,"Decatur, AL",9717,153033,3046
46460,"Union City, TN-KY",1046,38501,823
29860,"Laurel, MS",3308,83558,1571
17140,"Cincinnati, OH-KY-IN",55001,2114645,45265
28340,"Kendallville, IN",4637,46289,883
18220,"Connersville, IN",214,24245,462
40620,"Rolla, MO",951,46916,1123
35380,"New Orleans-Metairie, LA",92212,1190744,29282
19100,"Dallas-Fort Worth-Arlington, TX",1759295,6434860,142392
22380,"Flagstaff, AZ",17726,131131,3298
47460,"Walla Walla, WA",11845,62825,1503
25860,"Hickory-Lenoir-Morganton, NC",23167,363131,7415
11020,"Altoona, PA",1253,129568,3249
40220,"Roanoke, VA",9767,311056,8014
49180,"Winston-Salem, NC",59404,636181,12913
20500,"Durham-Chapel Hill, NC",55830,488100,11335
17900,"Columbia, SC",39248,762700,16648
13820,"Birmingham-Hoover, AL",48229,1132120,25299
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",109422,1675692,38783
25620,"Hattiesburg, MS",4045,148843,3354
14010,"Bloomington, IL",7801,187248,4090
26740,"Hutchinson, KS",5216,63901,1652
36420,"Oklahoma City, OK",141717,1247186,33039
33060,"Miami, OK",1590,39041,687
17020,"Chico, CA",31119,220287,4589
12700,"Barnstable Town, MA",4729,217878,8129
12300,"Augusta-Waterville, ME",1536,128765,3369
17200,"Claremont-Lebanon, NH-VT",3058,217233,6686
32000,"Marion, NC",2388,45323,741
45300,"Tampa-St. Petersburg-Clearwater, FL",452168,2781728,69364
38940,"Port St. Lucie, FL",63603,417439,9609
26090,"Holland, MI",5402,97395,1787
40420,"Rockford, IL",43106,348093,7367
11100,"Amarillo, TX",63277,251261,6051
42220,"Santa Rosa, CA",120528,484213,13067
31940,"Marinette, WI-MI",809,67631,1589
43700,"Somerset, KY",1336,64527,1381
19780,"Des Moines-West Des Moines, IA",38101,571568,14701
26980,"Iowa City, IA",7339,152008,3709
35300,"New Haven-Milford, CT",129811,862597,19304
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",46097,1131503,26755
21900,"Fairmont, WV",530,60659,1274
27340,"Jacksonville, NC",17755,179194,2938
35900,"North Wilkesboro, NC",3642,65591,1241
29300,"LaGrange, GA",2218,69193,1385
37860,"Pensacola-Ferry Pass-Brent, FL",20566,448500,8953
32820,"Memphis, TN-MS-AR",65478,1322256,25151
48940,"Wilmington, OH",590,47054,788
24580,"Green Bay, WI",19222,311436,7561
16980,"Chicago-Naperville-Elgin, IL-IN-WI",1956921,9456569,235882
38060,"Phoenix-Mesa-Scottsdale, AZ",1234015,4180181,84043
40140,"Riverside-San Bernardino-Ontario, CA",1994887,4223606,64770
47620,"Warren, PA",294,40196,871
27260,"Jacksonville, FL",92904,1345357,33500
32940,"Meridian, MS",1655,109415,2371
27060,"Ithaca, NY",4291,102462,2328
42540,"Scranton--Wilkes-Barre--Hazleton, PA",32460,558826,13070
20020,"Dothan, AL",4199,144574,3453
49780,"Zanesville, OH",690,91793,1790
48540,"Wheeling, WV-OH",1056,147295,3415
19820,"Detroit-Warren-Dearborn, MI",167816,4282181,96778
24340,"Grand Rapids-Wyoming, MI",86210,1002047,23410
16300,"Cedar Rapids, IA",6072,257919,6392
19340,"Davenport-Moline-Rock Island, IA-IL",29047,380413,9098
33340,"Milwaukee-Waukesha-West Allis, WI",147624,1562087,37729
36860,"Ottawa-Peru, IL",11932,150679,3603
44860,"Sulphur Springs, TX",5129,34115,719
30980,"Longview, TX",31435,227557,5538
43300,"Sherman-Denison, TX",13872,124346,2504
13060,"Bay City, TX",14074,37035,752
41700,"San Antonio-New Braunfels, TX",1153198,2134702,40504
10740,"Albuquerque, NM",413241,885284,18451
32900,"Merced, CA",140010,254483,2808
44700,"Stockton-Lodi, CA",266224,684518,10691
31700,"Manchester-Nashua, NH",21241,400805,10657
38300,"Pittsburgh, PA",29905,2347598,58993
34340,"Mount Airy, NC",7263,78573,1672
17460,"Cleveland-Elyria, OH",97896,2068322,51325
29020,"Kokomo, IN",2248,83985,1785
39980,"Richmond, IN",1818,69527,1552
29200,"Lafayette-West Lafayette, IN",13994,198718,3859
32100,"Marquette, MI",769,66997,1645
15100,"Brookings, SD",631,31656,842
26700,"Huron, SD",1335,17066,570
27620,"Jefferson City, MO",3173,149722,3509
24260,"Grand Island, NE",14214,81858,2495
12940,"Baton Rouge, LA",27209,794838,17697
41780,"Sandusky, OH",2737,80092,1961
47180,"Vincennes, IN",590,38668,957
10300,"Adrian, MI",7708,102327,1834
15900,"Canton, IL",904,37664,683
46140,"Tulsa, OK",78301,932507,23801
26420,"Houston-The Woodlands-Sugar Land, TX",2097863,5928789,123549
40380,"Rochester, NY",65178,1082795,24127
25180,"Hagerstown-Martinsburg, MD-WV",8990,251366,4951
40060,"Richmond, VA",62233,1210782,29802
26580,"Huntington-Ashland, WV-KY-OH",3274,361763,6992
31900,"Mansfield, OH",1708,123628,2658
13740,"Billings, MT",7179,159239,5804
14180,"Blytheville, AR",1686,46133,851
22220,"Fayetteville-Springdale-Rogers, AR-MO",69094,461818,10573
22260,"Fergus Falls, MN",1452,53238,1661
21340,"El Paso, TX",660908,804200,13526
16020,"Cape Girardeau, MO-IL",1720,94450,2662
10180,"Abilene, TX",35155,165751,3848
43500,"Silver City, NM",14268,29543,651
23420,"Fresno, CA",469995,935100,15781
40900,"Sacramento--Roseville--Arden-Arcade, CA",435142,2155829,44438
41860,"San Francisco-Oakland-Hayward, CA",920407,4306484,117632
11260,"Anchorage, AK",25410,382409,10362
15940,"Canton-Massillon, OH",6438,423914,9329
12420,"Austin-Round Rock, TX",542788,1724992,41997
24540,"Greeley, CO",78377,277134,5157
25840,"Hermiston-Pendleton, OR",21603,87062,1693
47220,"Vineland-Bridgeton, NJ",42461,159830,2988
24020,"Glens Falls, NY",2656,131108,3426
36460,"Olean, NY",1623,83430,1694
39060,"Pottsville, PA",4063,148331,2840
20660,"Easton, MD",2063,37696,1463
31340,"Lynchburg, VA",5121,249126,5863
16700,"Charleston-North Charleston, SC",35622,662898,16361
20140,"Dublin, GA",1291,57133,1163
45740,"Toccoa, GA",739,30059,587
16860,"Chattanooga, TN-GA",18551,520282,10862
23540,"Gainesville, FL",22284,276412,6024
32620,"McComb, MS",613,53833,1168
10420,"Akron, OH",10531,688609,16071
26340,"Houghton, MI",433,39198,966
39540,"Racine, WI",22907,205780,4174
32860,"Menomonie, WI",601,43227,879
37900,"Peoria, IL",10503,377078,8533
29180,"Lafayette, LA",14404,461833,12722
11660,"Arkadelphia, AR",982,25232,512
27220,"Jackson, WY-ID",4891,31341,2274
36260,"Ogden-Clearfield, UT",68829,597043,12255
39900,"Reno, NV",93913,424825,11642
33700,"Modesto, CA",216395,518345,8318
49700,"Yuba City, CA",44796,165131,2469
46020,"Truckee-Grass Valley, CA",8370,95997,2920
10140,"Aberdeen, WA",6346,74935,1725
42860,"Seneca, SC",3347,74469,1445
33500,"Minot, ND",1975,69749,2107
26500,"Huntingdon, PA",729,45664,806
35020,"Natchez, MS-LA",2344,52543,1179
42460,"Scottsboro, AL",1441,57035,875
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",179429,3356199,91090
14260,"Boise City, ID",77720,617543,15990
38240,"Pinehurst-Southern Pines, NC",5698,85934,2114
43580,"Sioux City, IA-NE-SD",23169,170834,4496
28140,"Kansas City, MO-KS",165838,2014684,49415
19740,"Denver-Aurora-Lakewood, CO",569973,2535873,73354
20780,"Edwards, CO",14533,50029,3096
42200,"Santa Maria-Santa Barbara, CA",181674,424106,11046
43740,"Somerset, PA",842,77995,1727
36740,"Orlando-Kissimmee-Sanford, FL",535441,2138583,54918
18140,"Columbus, OH",66753,1888827,39607
17540,"Clinton, IA",1237,48631,1187
36540,"Omaha-Council Bluffs, NE-IA",77521,865136,22064
20260,"Duluth, MN-WI",3391,281327,7152
31080,"Los Angeles-Long Beach-Anaheim, CA",5704579,12828176,330702
47300,"Visalia-Porterville, CA",266083,438352,6049
39300,"Providence-Warwick, RI-MA",163675,1600852,40597
25420,"Harrisburg-Carlisle, PA",26279,564575,13631
42340,"Savannah, GA",17266,351329,8320
27180,"Jackson, TN",4932,126807,2962
21060,"Elizabethtown-Fort Knox, KY",6601,150363,2857
29620,"Lansing-East Lansing, MI",28699,470011,9471
30700,"Lincoln, NE",16918,300662,8178
44660,"Stillwater, OK",3013,78492,1689
17820,"Colorado Springs, CO",95073,648228,16457
29820,"Las Vegas-Henderson-Paradise, NV",568655,1951354,39245
39820,"Redding, CA",15591,185873,4282
25900,"Hilo, HI",21383,185079,3979
29260,"La Grande, OR",1001,25793,762
14860,"Bridgeport-Stamford-Norwalk, CT",155026,916937,26711
18180,"Concord, NH",2269,141530,4025
41400,"Salem, OH",1390,112048,2172
35220,"New Castle, IN",696,50534,841
24220,"Grand Forks, ND-MN",3661,98027,2621
43620,"Sioux Falls, SD",7730,227670,6881
27900,"Joplin, MO",10557,175310,4163
44180,"Springfield, MO",11687,442944,10991
25460,"Harrison, AR",885,46827,952
18660,"Cortland, NY",1088,49567,1031
36580,"Oneonta, NY",1903,61495,1428
36300,"Ogdensburg-Massena, NY",2120,110058,2004
21500,"Erie, PA",9543,284140,6273
44980,"Sunbury, PA",2227,93867,1679
39740,"Reading, PA",67307,410505,8241
15680,"California-Lexington Park, MD",4036,108649,1946
41540,"Salisbury, MD-DE",24809,383012,10439
16620,"Charleston, WV",1971,232109,5812
17220,"Clarksburg, WV",1051,92350,2106
48980,"Wilson, NC",7821,81277,1722
24860,"Greenville-Anderson-Mauldin, SC",50347,836877,18918
27600,"Jefferson, GA",4397,70367,1444
34940,"Naples-Immokalee-Marco Island, FL",83438,321365,9796
36100,"Ocala, FL",35400,317434,6593
26620,"Huntsville, AL",19994,417351,9233
17300,"Clarksville, TN-KY",18305,255371,4050
32660,"McMinnville, TN",3210,42224,718
35460,"Newport, TN",639,36738,488
28940,"Knoxville, TN",25943,832083,17443
32280,"Martin, TN",666,33119,562
31140,"Louisville/Jefferson County, KY-IN",49011,1237394,28399
30460,"Lexington-Fayette, KY",27728,471530,11620
34660,"Murray, KY",887,36829,838
36980,"Owensboro, KY",2743,116853,2566
13340,"Bellefontaine, OH",556,49379,899
49660,"Youngstown-Warren-Boardman, OH-PA",15081,553739,12428
26900,"Indianapolis-Carmel-Anderson, IN",112680,1886992,44482
43780,"South Bend-Mishawaka, IN-MI",21132,318917,6653
26540,"Huntington, IN",690,39420,898
23060,"Fort Wayne, IN",24137,416552,10259
45460,"Terre Haute, IN",3193,170848,3649
13020,"Bay City, MI",4993,104814,2231
26960,"Ionia, MI",2769,63315,892
47940,"Waterloo-Cedar Falls, IA",5255,166864,4089
44020,"Spirit Lake, IA",179,16661,765
20220,"Dubuque, IA",1835,96553,2745
27500,"Janesville-Beloit, WI",12035,159524,3250
33580,"Mitchell, SD",310,22974,797
39660,"Rapid City, SD",5015,135258,4519
33540,"Missoula, MT",2802,107223,4048
23300,"Freeport, IL",1453,48854,1102
41180,"St. Louis, MO-IL",71529,2783048,68903
33020,"Mexico, MO",651,23684,555
30060,"Lebanon, MO",746,37340,806
48620,"Wichita, KS",72244,631578,14613
35060,"Natchitoches, LA",756,38838,808
20980,"El Dorado, AR",1471,42043,1168
34860,"Nacogdoches, TX",11383,65646,1283
32580,"McAllen-Edinburg-Mission, TX",702148,774680,11203
15180,"Brownsville-Harlingen, TX",357690,406162,6292
31180,"Lubbock, TX",94770,290721,7005
14720,"Breckenridge, CO",3989,27994,2076
23940,"Gillette, WY",3611,46084,1480
41620,"Salt Lake City, UT",182779,1089779,29386
46060,"Tucson, AZ",339506,990891,20105
45340,"Taos, NM",19288,34089,1126
12540,"Bakersfield, CA",413883,841588,12017
34900,"Napa, CA",44103,137050,3904
38900,"Portland-Vancouver-Hillsboro, OR-WA",241548,2222331,61976
28900,"Klamath Falls, OR",6879,64920,1558
36620,"Ontario, OR-ID",13120,52719,1163
42660,"Seattle-Tacoma-Bellevue, WA",309498,3440440,95562
14740,"Bremerton-Silverdale, WA",15674,250958,5549
26460,"Hudson, NY",2352,60749,1639
13220,"Beckley, WV",1404,124973,2664
12260,"Augusta-Richmond County, GA-SC",24491,560246,10320
25740,"Helena, MT",1807,75432,2423
41980,"San Juan-Carolina-Caguas, PR",2324677,2350506,0
30340,"Lewiston-Auburn, ME",1669,107702,2750
30140,"Lebanon, PA",12483,135820,2652
37620,"Parkersburg-Vienna, WV",772,92993,2164
24660,"Greensboro-High Point, NC",55559,736034,17424
11780,"Ashtabula, OH",3454,102159,2000
11740,"Ashland, OH",502,51405,1032
31540,"Madison, WI",32148,610143,16233
48140,"Wausau, WI",2514,126132,3208
27300,"Jacksonville, IL",754,40305,940
38740,"Poplar Bluff, MO",662,41345,1166
33620,"Moberly, MO",426,27327,576
10460,"Alamogordo, NM",14914,55118,1002
29780,"Las Vegas, NM",22157,28804,444
42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",55826,269227,7739
46700,"Vallejo-Fairfield, CA",98835,412119,6617
45940,"Trenton, NJ",56060,380027,10288
47020,"Victoria, TX",40439,93229,2403
46380,"Ukiah, CA",19495,87595,2494
20340,"Duncan, OK",2814,45652,1064
39140,"Prescott, AZ",29136,214253,5716
45180,"Talladega-Sylacauga, AL",1688,90150,1333
22540,"Fond du Lac, WI",4255,96420,2255
47420,"Wahpeton, ND-MN",415,22864,726
24500,"Great Falls, MT",2726,81430,2427
45380,"Taylorville, IL",492,37367,784
46340,"Tyler, TX",36332,213182,5537
33260,"Midland, TX",53244,139305,4518
28180,"Kapaa, HI",6315,67091,1912
11820,"Astoria, OR",2764,36098,1413
10580,"Albany-Schenectady-Troy, NY",35897,863454,20952
38580,"Point Pleasant, WV-OH",404,59604,898
48700,"Williamsport, PA",1554,117646,2838
19060,"Cumberland, MD-WV",1321,106172,2139
29900,"Laurinburg, NC",739,34817,638
46520,"Urban Honolulu, HI",77433,953207,21130
12620,"Bangor, ME",1633,156152,4144
41740,"San Diego-Carlsbad, CA",989921,3091958,75867
17980,"Columbus, GA-AL",16877,295227,5624
28580,"Key West, FL",15063,73057,3489
22860,"Fort Polk South, LA",3660,50574,703
21780,"Evansville, IN-KY",5936,310932,7557
13900,"Bismarck, ND",1482,114308,3558
17580,"Clovis, NM",19175,48615,1063
40860,"Rutland, VT",694,62713,2240
44900,"Summerville, GA",1055,27977,324
24900,"Greenwood, MS",815,41233,834
27140,"Jackson, MS",12742,567673,12920
25060,"Gulfport-Biloxi-Pascagoula, MS",17571,362213,7047
19220,"Danville, KY",1220,55756,1037
32020,"Marion, OH",1503,67006,1166
47700,"Warsaw, IN",5514,74877,1852
14020,"Bloomington, IN",4208,158687,3238
13260,"Bedford, IN",564,47648,884
32260,"Marshalltown, IA",7017,40595,816
27420,"Jamestown, ND",360,21091,649
19500,"Decatur, IL",2074,110498,2479
39500,"Quincy, IL-MO",946,77406,2003
34260,"Mountain Home, AR",677,40584,1069
47380,"Waco, TX",59469,254306,5158
23240,"Fredericksburg, TX",5090,25074,890
44460,"Steamboat Springs, CO",1597,23420,1544
24060,"Glenwood Springs, CO",18705,76122,4009
22140,"Farmington, NM",24686,127510,2828
21580,"Española, NM",32902,45129,624
41500,"Salinas, CA",220405,402842,8129
25020,"Guayama, PR",82772,83480,0
49340,"Worcester, MA-CT",86651,915111,19479
35980,"Norwich-New London, CT",23249,275315,5685
36140,"Ocean City, NJ",6071,97909,3812
12180,"Auburn, NY",1880,77523,1634
48060,"Watertown-Fort Drum, NY",6155,117816,2476
20180,"DuBois, PA",788,77663,1891
30260,"Lewisburg, PA",2367,47226,917
42380,"Sayre, PA",693,62268,1444
20100,"Dover, DE",8524,158083,3048
15700,"Cambridge, MD",1117,31914,736
13720,"Big Stone Gap, VA",630,63575,1307
30880,"Logan, WV",253,36877,694
21180,"Elkins, WV",199,29686,717
40460,"Rockingham, NC",2741,47205,826
33980,"Morehead City, NC",2108,61037,1815
11700,"Asheville, NC",27071,424345,11364
22500,"Florence, SC",4465,211300,4256
15660,"Calhoun, GA",7904,56820,1008
48180,"Waycross, GA",2167,57973,1203
20060,"Douglas, GA",4125,42433,833
10500,"Albany, GA",3225,154828,3235
18880,"Crestview-Fort Walton Beach-Destin, FL",15141,231873,6637
37340,"Palm Bay-Melbourne-Titusville, FL",43972,543922,12765
15980,"Cape Coral-Fort Myers, FL",113344,619054,15696
22520,"Florence-Muscle Shoals, AL",3166,146087,3213
10700,"Albertville, AL",12817,98770,1848
27740,"Johnson City, TN",5237,197826,3768
42940,"Sevierville, TN",4804,92207,2500
29980,"Lawrenceburg, TN",770,47296,737
18260,"Cookeville, TN",4272,110714,2112
34460,"Mount Sterling, KY",877,44733,703
30940,"London, KY",1299,126531,2311
46500,"Urbana, OH",430,38471,597
31930,"Marietta, OH",465,63852,1452
12980,"Battle Creek, MI",6213,136259,2659
31220,"Ludington, MI",1127,28050,743
45900,"Traverse City, MI",3191,142787,4715
11180,"Ames, IA",2780,91619,2084
39860,"Red Wing, MN",1373,47338,1314
13420,"Bemidji, MN",678,44945,1170
10100,"Aberdeen, SD",553,40788,1438
38180,"Pierre, SD",339,21307,840
16580,"Champaign-Urbana, IL",11067,231253,4804
44100,"Springfield, IL",3601,210371,5322
16460,"Centralia, IL",858,46648,1039
41140,"St. Joseph, MO-KS",5214,120839,2893
31740,"Manhattan, KS",4570,85044,2092
45820,"Topeka, KS",20566,234397,5325
23780,"Garden City, KS",18273,40445,1070
30780,"Little Rock-North Little Rock-Conway, AR",33473,691995,17373
21420,"Enid, OK",5353,60411,1648
20460,"Durant, OK",2116,42864,746
22900,"Fort Smith, AR-OK",23945,275745,5899
22820,"Fort Morgan, CO",9544,28495,654
33940,"Montrose, CO",8070,41163,1244
24300,"Grand Junction, CO",19567,146821,4537
26820,"Idaho Falls, ID",14718,134019,3695
39340,"Provo-Orem, UT",56060,524833,10858
29740,"Las Cruces, NM",144702,218062,3641
41940,"San Jose-Sunnyvale-Santa Clara, CA",527678,1859069,45533
43760,"Sonora, CA",5800,54242,1330
21660,"Eugene, OR",26166,351883,9422
40700,"Roseburg, OR",5050,107244,2488
36020,"Oak Harbor, WA",4295,78506,1690
38660,"Ponce, PR",347716,350073,0
38340,"Pittsfield, MA",4530,131219,3988
24640,"Greenfield Town, MA",2233,70889,1576
15540,"Burlington-South Burlington, VT",3507,211509,6600
26860,"Indiana, PA",962,91595,1952
22580,"Forest City, NC",2289,64335,1274
35100,"New Bern, NC",7112,128568,2651
45540,"The Villages, FL",5735,94024,1067
33860,"Montgomery, AL",11975,380713,7617
12220,"Auburn-Opelika, AL",4541,139861,2407
34100,"Morristown, TN",8441,119865,2013
17380,"Cleveland, MS",649,35373,727
45780,"Toledo, OH",35734,606662,13351
44220,"Springfield, OH",3782,137322,2381
34740,"Muskegon, MI",8362,173790,3247
42300,"Sault Ste. Marie, MI",492,38978,816
28100,"Kankakee, IL",10160,112379,2353
40300,"Rochelle, IL",4690,51683,1063
42620,"Searcy, AR",2952,80341,1530
12900,"Batesville, AR",2108,35204,777
37500,"Paragould, AR",900,41040,784
37300,"Palestine, TX",9419,60438,949
31260,"Lufkin, TX",17161,87073,1857
23620,"Gainesville, TX",5871,35370,829
13940,"Blackfoot, ID",7661,44161,785
41100,"St. George, UT",13488,138175,3849
36500,"Olympia-Tumwater, WA",17340,250684,5730
44060,"Spokane-Spokane Valley, WA",22841,528104,13249
11220,"Amsterdam, NY",5829,59813,1212
38460,"Plattsburgh, NY",2074,85211,1971
27460,"Jamestown-Dunkirk-Fredonia, NY",8284,136618,2960
36340,"Oil City, PA",474,52460,1179
44300,"State College, PA",4812,156220,3242
16540,"Chambersburg-Waynesboro, PA",6248,139965,2865
